,Unnamed: 0,user_id,slurp_id,nlub_id,sentence,intent,recording_path
0,13714,FE-128,13450,16060,i would like my to take my dog outside to go the bathroom,general_quirky,audio-1488991540.flac
1,30449,FE-128,2150,2374,give me information about this song,music_query,audio-1488991932.flac
2,59956,FE-128,9248,10986,tune in to nine hundred and thirty five on radio,play_radio,audio-1488992022.flac
3,23880,FE-128,16089,19489,have i received new emails in the last ten minutes,email_query,audio-1488992997.flac
4,59830,FE-128,9209,10938,play music radio for me,play_radio,audio-1488991325.flac
5,5070,FE-128,11259,13426,jump to next podcast,play_podcasts,audio-1488993353.flac
6,5149,FE-128,11262,13429,next one,podcasts,audio-1488991443.flac
7,30169,FE-128,2079,2296,repeat the last song,music_settings,audio-1488991199.flac
8,12155,FE-128,13005,15511,what would you look like if you were a real human being,general_quirky,audio-1488993716.flac
9,24020,FE-128,16120,19525,help is to be sent only to jane,email_sendemail,audio-1488992293.flac
10,54080,FE-128,7706,9012,i have a meeting tomorrow morning at ten please remind me,calendar_set,audio-1488991477.flac
11,5244,FE-128,11267,13435,find an interesting podcast about last pritzker price winners,play_podcasts,audio-1488993620.flac
12,36296,FE-128,3424,3760,can you set my coffee machine to make me coffee at time,iot_coffee,audio-1488991965.flac
13,5294,FE-128,11274,13442,start the podcast,play_podcasts,audio-1488991456.flac
14,5307,FE-128,11276,13444,can you play the next podcast,play_podcasts,audio-1488993313.flac
15,52365,FE-128,7290,8527,delete all my appointments for today,calendar_remove,audio-1488992065.flac
16,29994,FE-128,204,182,do i have any alarms,alarm_query,audio-1488993039.flac
17,54200,FE-128,7754,9069,set a recurring event in my calendar,calendar_set,audio-1488993506.flac
18,20155,FE-128,1522,1645,increase the volume of the left speaker by ten,audio_volume_up,audio-1488993218.flac
19,5634,FE-128,11341,13522,find the latest disney podcast,play_podcasts,audio-1488992754.flac
20,47540,FE-128,615,624,play songs from my playlist,music,audio-1488992275.flac
21,29645,FE-128,198,176,does dominos do takeaway,takeaway_query,audio-1488991621.flac
22,34032,FE-128,2930,3242,i like this song what is it can you please repeat it once,music_likeness,audio-1488992668.flac
23,29499,FE-128,196,174,tell me the time,datetime_query,audio-1488992769.flac
