,Unnamed: 0,user_id,slurp_id,nlub_id,sentence,intent,recording_path
15055,28765,FO-122,1844,2017,is it going to freeze overnight,weather_query,audio-1502301766-headset.flac
15056,37139,FO-122,360,334,what is the current time,datetime_query,audio-1488971243.flac
15057,4563,FO-122,1113,1174,save all songs from katy perry,music_likeness,audio-1502301633.flac
15058,30852,FO-122,2238,2473,what are the top world news stories,news_query,audio-1502301732.flac
15059,49655,FO-122,673,696,what time is it now,datetime_query,audio-1488970735.flac
15060,6025,FO-122,11429,13628,please play the last two episodes of the gilmore guys,play_podcasts,audio-1488970928.flac
15061,6009,FO-122,11423,13621,go backward thirty seconds,play_podcasts,audio-1502302619.flac
15062,39111,FO-122,4095,4556,please set my alarm clock for eight am,alarm_set,audio-1502302338-headset.flac
15063,40779,FO-122,4465,4999,save all of my preferences information specific to songs,music_likeness,audio-1502302052-headset.flac
15064,4562,FO-122,1113,1174,save all songs from katy perry,music_likeness,audio-1502301633-headset.flac
15065,30851,FO-122,2238,2473,what are the top world news stories,news_query,audio-1502301732-headset.flac
15066,32722,FO-122,2659,2950,this song is my favourite,music_likeness,audio-1488971163.flac
15067,44179,FO-122,527,532,do you know any jokes,general_joke,audio-1502302465.flac
15068,20882,FO-122,1541,1667,i dont want to carry an umbrella will we have rain today,weather_query,audio-1502302440.flac
15069,20881,FO-122,1541,1667,i dont want to carry an umbrella will we have rain today,weather_query,audio-1502302440-headset.flac
15070,6008,FO-122,11423,13621,go backward thirty seconds,play_podcasts,audio-1502302619-headset.flac
15071,36929,FO-122,3569,3932,make five coffee tell the coffee machine,iot_coffee,audio-1502302326-headset.flac
15072,32772,FO-122,2674,2966,play favorites,play_music,audio-1488970282.flac
15073,9287,FO-122,12271,14593,can you book me a train ticket to bombay for tomorrow in any train,transport_ticket,audio-1488971278.flac
15074,28766,FO-122,1844,2017,is it going to freeze overnight,weather_query,audio-1502301766.flac
15075,11977,FO-122,12960,15447,dance with me,general_quirky,audio-1488971591.flac
15076,44178,FO-122,527,532,do you know any jokes,general_joke,audio-1502302465-headset.flac
15077,58791,FO-122,894,940,turn off the alarm for tomorrow morning,alarm_remove,audio-1488970175.flac
15078,24435,FO-122,16218,19649,what is mary s.'s birthday,email_querycontact,audio-1488972056.flac
15079,6798,FO-122,11616,13873,are there any events going on downtown tonight,recommendation_events,audio-1488972176.flac
15080,4425,FO-122,1109,1170,i find rap music really enjoyable,music_likeness,audio-1488970906.flac
15081,39112,FO-122,4095,4556,please set my alarm clock for eight am,alarm_set,audio-1502302338.flac
15082,13177,FO-122,13293,15863,i need to figure out this percentage,qa_maths,audio-1502301660-headset.flac
15083,9518,FO-122,123,108,tell me a joke,joke,audio-1502302314-headset.flac
15084,9519,FO-122,123,108,tell me a joke,joke,audio-1502302314.flac
15085,13160,FO-122,13286,15855,define inflation and describe it's effects on an economy,general_quirky,audio-1502301945.flac
15086,20358,FO-122,15271,18503,post this to my facebook lol,social_post,audio-1488970233.flac
15087,13159,FO-122,13286,15855,define inflation and describe it's effects on an economy,general_quirky,audio-1502301945-headset.flac
15088,12162,FO-122,13007,15513,what do you think was the best decade,general_quirky,audio-1502302076-headset.flac
15089,47437,FO-122,6113,7131,hey order a side of hot wings with my previous order,takeaway_order,audio-1502302200.flac
15090,26334,FO-122,16691,20215,send reply to joe,email_sendemail,audio-1502301989.flac
15091,13178,FO-122,13293,15863,i need to figure out this percentage,qa_maths,audio-1502301660.flac
15092,52910,FO-122,7418,8673,meeting this friday,calendar_set,audio-1488969429.flac
15093,11949,FO-122,12949,15435,where is botzwana,qa_factoid,audio-1488970204.flac
15094,47436,FO-122,6113,7131,hey order a side of hot wings with my previous order,takeaway_order,audio-1502302200-headset.flac
15095,22492,FO-122,15783,19135,any new emails,email_query,audio-1488971507.flac
15096,18578,FO-122,1479,1594,what is the highest rated joke today,general_joke,audio-1488969263.flac
15097,28331,FO-122,1774,1929,turn off the alarm,alarm_remove,audio-1502302100-headset.flac
15098,28332,FO-122,1774,1929,turn off the alarm,alarm_remove,audio-1502302100.flac
15099,51402,FO-122,706,735,i want to hear radio head please,play_music,audio-1502302246-headset.flac
15100,12163,FO-122,13007,15513,what do you think was the best decade,general_quirky,audio-1502302076.flac
15101,51403,FO-122,706,735,i want to hear radio head please,play_music,audio-1502302246.flac
15102,26333,FO-122,16691,20215,send reply to joe,email_sendemail,audio-1502301989-headset.flac
15103,20909,FO-122,15418,18683,hey post my complaint to at microsoft on twitter,social_post,audio-1502301820-headset.flac
15104,20910,FO-122,15418,18683,hey post my complaint to at microsoft on twitter,social_post,audio-1502301820.flac
