,Unnamed: 0.1,Unnamed: 0,user_id,slurp_id,nlub_id,sentence,intent,recording_path
0,0,13714,FE-128,13450,16060,i would like my to take my dog outside to go the bathroom,general_quirky,audio-1488991540.flac
1,1,30449,FE-128,2150,2374,give me information about this song,music_query,audio-1488991932.flac
2,2,59956,FE-128,9248,10986,tune in to nine hundred and thirty five on radio,play_radio,audio-1488992022.flac
3,3,23880,FE-128,16089,19489,have i received new emails in the last ten minutes,email_query,audio-1488992997.flac
4,4,59830,FE-128,9209,10938,play music radio for me,play_radio,audio-1488991325.flac
5,5,5070,FE-128,11259,13426,jump to next podcast,play_podcasts,audio-1488993353.flac
6,6,5149,FE-128,11262,13429,next one,podcasts,audio-1488991443.flac
7,7,30169,FE-128,2079,2296,repeat the last song,music_settings,audio-1488991199.flac
8,8,12155,FE-128,13005,15511,what would you look like if you were a real human being,general_quirky,audio-1488993716.flac
9,9,24020,FE-128,16120,19525,help is to be sent only to jane,email_sendemail,audio-1488992293.flac
10,10,54080,FE-128,7706,9012,i have a meeting tomorrow morning at ten please remind me,calendar_set,audio-1488991477.flac
11,11,5244,FE-128,11267,13435,find an interesting podcast about last pritzker price winners,play_podcasts,audio-1488993620.flac
12,12,36296,FE-128,3424,3760,can you set my coffee machine to make me coffee at time,iot_coffee,audio-1488991965.flac
13,13,5294,FE-128,11274,13442,start the podcast,play_podcasts,audio-1488991456.flac
14,14,5307,FE-128,11276,13444,can you play the next podcast,play_podcasts,audio-1488993313.flac
15,15,52365,FE-128,7290,8527,delete all my appointments for today,calendar_remove,audio-1488992065.flac
16,16,29994,FE-128,204,182,do i have any alarms,alarm_query,audio-1488993039.flac
17,17,54200,FE-128,7754,9069,set a recurring event in my calendar,calendar_set,audio-1488993506.flac
18,18,20155,FE-128,1522,1645,increase the volume of the left speaker by ten,audio_volume_up,audio-1488993218.flac
19,19,5634,FE-128,11341,13522,find the latest disney podcast,play_podcasts,audio-1488992754.flac
20,20,47540,FE-128,615,624,play songs from my playlist,music,audio-1488992275.flac
21,21,29645,FE-128,198,176,does dominos do takeaway,takeaway_query,audio-1488991621.flac
22,22,34032,FE-128,2930,3242,i like this song what is it can you please repeat it once,music_likeness,audio-1488992668.flac
23,23,29499,FE-128,196,174,tell me the time,datetime_query,audio-1488992769.flac
24,24,34042,FE-128,2934,3246,play my country playlist,play_music,audio-1488992623.flac
25,25,24457,FE-128,16222,19654,tell me about mary s.,email_querycontact,audio-1488993380.flac
26,26,29383,FE-128,195,173,what is the time,datetime_query,audio-1488992231.flac
27,27,20326,FE-128,15263,18494,post a status using the latest notes i made in my notepad,social_post,audio-1488993837.flac
28,28,60057,FE-128,9269,11012,tune in to eight hundred and ninety seven fm,radio,audio-1488993668.flac
29,29,29083,FE-128,1899,2076,brigten the light at seventy percent,hue_lightup,audio-1488991676.flac
30,30,39082,FE-128,409,398,read me my alarms,alarm_query,audio-1488993711.flac
31,31,4480,FE-128,1111,1172,play the footloose song,play_music,audio-1488991960.flac
32,32,45779,FE-128,57,41,find my thai takeaways around grass market,takeaway_query,audio-1488993688.flac
33,33,12935,FE-128,13223,15771,why does sofia vergara look so young,general_quirky,audio-1488993308.flac
34,34,61041,FE-128,953,1003,will you please mute my speakers,audio_volume_mute,audio-1488991709.flac
35,35,35326,FE-128,3204,3523,please note i like jazz and hate disco,music_likeness,audio-1488993367.flac
36,36,31629,FE-128,2402,2651,i need more light,iot_hue_lightup,audio-1488992749.flac
37,37,3539,FE-128,1083,1144,i couldn't hear you repeat that louder,audio_volume_up,audio-1488993398.flac
38,38,36604,FE-128,3492,3841,let's play my most played song list,play_music,audio-1488993075.flac
39,39,36589,FE-128,3490,3838,play songs by the beatles please,play_music,audio-1488993345.flac
40,40,53538,FE-128,7552,8828,tell me what happened today from eight am to nine am,news_query,audio-1488992203.flac
41,41,12829,FE-128,13199,15743,do you know math,qa_maths,audio-1488993304.flac
42,42,31532,FE-128,2384,2629,what's happening around the world,news_query,audio-1488991389.flac
43,43,3663,FE-128,10868,12915,anything else left on the list,lists_query,audio-1488993127.flac
44,44,33668,FE-128,2878,3181,please cancel all alarms for tomorrow,alarm_remove,audio-1488992038.flac
45,45,22342,FE-128,15772,19125,what's his number,email_querycontact,audio-1488993449.flac
46,46,22341,FE-128,15772,19125,what's his number,email_querycontact,audio-1488992000.flac
47,47,63489,FE-128,9938,11786,how long should i cook a hamburger on each side,cooking_recipe,audio-1488993955.flac
48,48,33719,FE-128,2893,3199,would you play some music please,play_music,audio-1488992840.flac
49,49,53748,FE-128,7609,8901,remove meeting reminder for tuesday,calendar_remove,audio-1488992049.flac
50,50,12621,FE-128,13145,15677,show me what i can do with fitness,general_quirky,audio-1488991607.flac
51,51,19801,FE-128,1514,1633,is it supposed to rain tonight,weather_query,audio-1488991336.flac
52,52,12559,FE-128,13130,15661,how can the word placid be used,qa_definition,audio-1488991450.flac
53,53,22254,FE-128,15752,19104,find me all mails from magda with holidays word in the title,email_query,audio-1488991588.flac
54,54,19817,FE-128,15141,18354,are there any interesting stuff happened today in my twitter,social_query,audio-1488993731.flac
55,55,199,FE-128,10034,11897,how to make a burger,cooking_recipe,audio-1488992539.flac
56,56,200,FE-128,10035,11898,tell me the recipe for yellow rice,cooking_recipe,audio-1488992302.flac
57,57,60338,FE-128,9321,11069,make the radio turn on now,play_radio,audio-1488994014.flac
58,58,30816,FE-128,2230,2464,turn off kitchen light,iot_hue_lightoff,audio-1488993833.flac
59,59,30764,FE-128,2219,2452,weather in dhaka,weather_query,audio-1488993035.flac
60,60,24519,FE-128,16238,19673,send an e mail,email_sendemail,audio-1488992243.flac
61,61,6496,FE-128,11572,13822,what events are planned in my area,recommendation_events,audio-1488993319.flac
62,62,54616,FE-128,7835,9167,please add an event to my schedule,calendar_set,audio-1488994004.flac
63,63,34493,FE-128,3032,3342,what's the current weather,weather_query,audio-1488993391.flac
64,64,26945,FE-128,1686,1831,is it a yes or a no that tomorrows temperature will be hot,weather_query,audio-1488993147.flac
65,65,8815,FE-128,12146,14441,call me a cab to the train station,transport_taxi,audio-1488991866.flac
66,66,8950,FE-128,12183,14486,are there any accidents on the four hundred and five,transport_traffic,audio-1488993210.flac
67,67,25400,FE-128,1647,1790,all lights has to be turned off during the day,iot_hue_lightoff,audio-1488993653.flac
68,68,9069,FE-128,12209,14517,are there any accidents on harvard,transport_traffic,audio-1488993949.flac
69,69,9087,FE-128,12214,14523,schedule city cab from home to airport at eight am,transport_taxi,audio-1488993298.flac
70,70,51582,FE-128,7110,8324,did i have any plans later on tonight at eight pm,calendar_query,audio-1488993658.flac
71,71,48783,FE-128,651,670,turn off room lights,iot_hue_lightoff,audio-1488993978.flac
72,72,25513,FE-128,16490,19973,check e mail client,email_query,audio-1488991601.flac
73,73,9413,FE-128,12299,14628,call me a taxi,transport_taxi,audio-1488992846.flac
74,74,9423,FE-128,123,108,tell me a joke,joke,audio-1488993818.flac
75,75,55528,FE-128,805,847,lower all volume on speakers please,audio_volume_down,audio-1488991612.flac
76,76,9651,FE-128,12336,14670,how far is the distance to rccg ikoyi lagos from here by train,transport_query,audio-1488993186.flac
77,77,9689,FE-128,12344,14680,check time of kalka train from jodhpur station on monday,transport_query,audio-1488993915.flac
78,78,51919,FE-128,7189,8412,do i have anything planned,calendar_query,audio-1488993757.flac
79,79,51916,FE-128,7188,8411,what is my next event,calendar_query,audio-1488993407.flac
80,80,35826,FE-128,3330,3654,i want to hear a joke,general_joke,audio-1488993122.flac
81,81,9711,FE-128,12353,14694,show me where i can find a train,transport_query,audio-1488992928.flac
82,82,34645,FE-128,3070,3377,please mute the sound,audio_volume_mute,audio-1488992724.flac
83,83,9783,FE-128,12370,14714,train times for tomorrow,transport_query,audio-1488991822.flac
84,84,9840,FE-128,12386,14732,when does the next train to work leave,transport_query,audio-1488994062.flac
85,85,9979,FE-128,1243,1326,find a joke in your vault and tell me,general_joke,audio-1488991645.flac
86,86,55752,FE-128,8125,9501,create a meeting event in my calendar,calendar_set,audio-1488992917.flac
87,87,21531,FE-128,156,138,turn down the brightness,iot_hue_lightdim,audio-1488991736.flac
88,88,55636,FE-128,8085,9452,i'd like to set a date for this week,calendar_set,audio-1488991488.flac
89,89,25671,FE-128,16519,20007,i need to add a new email to my contacts,email_sendemail,audio-1488993679.flac
90,90,8730,FE-128,12139,14434,book a train for me,transport_ticket,audio-1488992908.flac
91,91,8638,FE-128,1213,1293,i want blue lighting,iot_hue_lightchange,audio-1488992740.flac
92,92,51499,FE-128,7088,8300,open calendar,calendar_set,audio-1488992720.flac
93,93,55228,FE-128,798,838,which restaurants offer take out food,takeaway_query,audio-1488991659.flac
94,94,54652,FE-128,7841,9174,remind me to pick up more dog food at petco tomorrow at seven twenty pm,calendar_set,audio-1488993106.flac
95,95,6606,FE-128,11576,13826,tell me about the events near me,recommendation_events,audio-1488993892.flac
96,96,34111,FE-128,2956,3264,what time are my alarms,alarm_query,audio-1488993639.flac
97,97,34116,FE-128,2957,3265,is there an alarm for ten am,alarm_query,audio-1488992923.flac
98,98,28864,FE-128,1864,2039,what alarms are on right now,alarm_query,audio-1488993995.flac
99,99,35039,FE-128,3144,3451,super song,music_likeness,audio-1488991195.flac
100,100,28785,FE-128,185,163,turn on my playlist and play third song in the queue,play_music,audio-1488993324.flac
101,101,24668,FE-128,16276,19715,do i have new emails,email_query,audio-1488993595.flac
102,102,58251,FE-128,879,923,what time is it in miami florida,datetime_query,audio-1488993502.flac
103,103,43867,FE-128,520,523,what time is it right now,datetime_query,audio-1488992873.flac
104,104,36153,FE-128,3392,3722,remember that this is my favorite music,music_likeness,audio-1488993767.flac
105,105,21846,FE-128,1568,1696,shuffle and play the playlist,play_music,audio-1488994010.flac
106,106,28456,FE-128,1792,1950,good afternoon how are you,general_greet,audio-1488991914.flac
107,107,3415,FE-128,1080,1140,give me tomorrow's weather update,weather_query,audio-1488992572.flac
108,108,51198,FE-128,7010,8206,send a calendar appointment to,calendar_set,audio-1488993266.flac
109,109,7330,FE-128,11774,14035,what do you suggest that i watch this weekend,recommendation_movies,audio-1488992032.flac
110,110,28097,FE-128,1725,1871,what will be the condition of weather next seven days,weather_query,audio-1488993577.flac
111,111,52098,FE-128,7225,8452,remember me my child's birthday,calendar_set,audio-1488992010.flac
112,112,25081,FE-128,16395,19861,what and who was i emailed about last week,email_query,audio-1488991922.flac
113,113,46301,FE-128,583,591,will there be sunset at five thirty pm tomorrow,weather_query,audio-1488993061.flac
114,114,25140,FE-128,16406,19873,start email,email_sendemail,audio-1488991718.flac
115,115,27820,FE-128,1712,1857,filter all arijit singh sad song and save or create playlist of sad songs of arijit singh,music_likeness,audio-1488992682.flac
116,116,36007,FE-128,3359,3689,update me on the standing rock protest,news_query,audio-1488992715.flac
117,117,35566,FE-128,3254,3574,what was the weather report for today,weather_query,audio-1488991729.flac
118,118,46338,FE-128,584,592,is there any chances of rain this week,weather_query,audio-1488992197.flac
119,119,25229,FE-128,16425,19892,create new message to robert at work what time you off from me send,email_sendemail,audio-1488993134.flac
120,120,55209,FE-128,7974,9327,what do i have planned today,calendar_query,audio-1488991763.flac
121,121,35577,FE-128,3257,3579,any fresh news on brad pitt,news_query,audio-1488992343.flac
122,122,36139,FE-128,3389,3719,what is the weather forecast for chicago,weather_query,audio-1488994056.flac
123,123,126,FE-128,10013,11873,select recipe,cooking_recipe,audio-1488991343.flac
124,124,24237,FE-128,16171,19592,look for new emails,email_query,audio-1488992992.flac
125,125,53292,FE-128,7501,8772,next event is canceled,calendar_remove,audio-1488993197.flac
126,126,2050,FE-128,10466,12448,take item off list,lists_remove,audio-1488993762.flac
127,127,50082,FE-128,6782,7941,who am i meeting at work tomorrow,calendar_query,audio-1488993358.flac
128,128,49618,FE-128,6726,7884,cancel next meeting,calendar_remove,audio-1488991652.flac
129,129,2391,FE-128,10544,12545,begin new list of lottery numbers,lists_createoradd,audio-1488993429.flac
130,130,33089,FE-128,2733,3030,start a pot of coffee please,iot_coffee,audio-1488993699.flac
131,131,3151,FE-128,10722,12757,hey i need you to make a list of cricket players of indian team who played for the international team in two thousand and fourteen,lists_createoradd,audio-1488993853.flac
132,132,13298,FE-128,13327,15903,call the closest mexican restaurant,takeaway_order,audio-1488991683.flac
133,133,53087,FE-128,7454,8716,remind me before monday,calendar_set,audio-1488992287.flac
134,134,36757,FE-128,3534,3889,the joke of the day,general_joke,audio-1488992877.flac
135,135,22811,FE-128,15828,19181,here is a new email address to be added to the contacts,email_sendemail,audio-1488991753.flac
136,136,13314,FE-128,13333,15911,what is plus y,qa_maths,audio-1488991994.flac
137,137,22917,FE-128,15860,19217,send email to mom asking about the weather,email_sendemail,audio-1488991370.flac
138,138,22797,FE-128,15822,19173,update me,news_query,audio-1488994000.flac
139,139,13355,FE-128,13352,15934,what is the definition of this word,qa_definition,audio-1488992706.flac
140,140,37101,FE-128,3592,3955,loudly,audio_volume_up,audio-1488991469.flac
141,141,22796,FE-128,15822,19173,update me,news_query,audio-1488991520.flac
142,142,37106,FE-128,3593,3956,turn the light off,iot_hue_lightoff,audio-1488992577.flac
143,143,52853,FE-128,7406,8661,set repeating event gym day on calendar,calendar_set,audio-1488991381.flac
144,144,2146,FE-128,10485,12473,remove list,lists_remove,audio-1488992164.flac
145,145,32349,FE-128,2577,2855,lights off in the kitchen please,iot_hue_lightoff,audio-1488991285.flac
146,146,22465,FE-128,15779,19132,email to matthew with content project finished send me invoice please,email_sendemail,audio-1488992146.flac
147,147,52690,FE-128,7362,8612,just delete the next engagement event,remove,audio-1488993752.flac
148,148,2147,FE-128,10485,12473,remove list,lists_remove,audio-1488993236.flac
149,149,3054,FE-128,10708,12742,get rid of this list,lists_remove,audio-1488991398.flac
150,150,2577,FE-128,10588,12599,show me the contents of the list,lists_query,audio-1488992862.flac
151,151,63608,FE-128,9971,11825,what conducts heat better copper bottomed pots or cast iron,cooking_recipe,audio-1488993114.flac
152,152,32468,FE-128,2601,2884,please turn off the porch light,iot_hue_lightoff,audio-1488991352.flac
153,153,63699,FE-128,9997,11854,what does one have to damage in cream to make butter,cooking_recipe,audio-1488992972.flac
154,154,49504,FE-128,6718,7877,tell me more about the concert on friday's night,general_quirky,audio-1488991794.flac
155,155,49787,FE-128,6739,7894,do i have meeting with steve this week,calendar_query,audio-1488992087.flac
156,156,49603,FE-128,6725,7883,remind me about my schedule for the afternoon,calendar_set,audio-1488991691.flac
157,157,49854,FE-128,6745,7902,add to my calendar daily call at five pm,calendar_set,audio-1488993804.flac
158,158,31894,FE-128,2466,2724,what's the current breaking news about the economy,news_query,audio-1488993531.flac
159,159,52671,FE-128,7360,8610,delete the next wedding event,calendar_remove,audio-1488993644.flac
160,160,36725,FE-128,3525,3878,let's dance,play_music,audio-1488991268.flac
161,161,33196,FE-128,2765,3063,i'm in the mood to order takeaway,takeaway_order,audio-1488993777.flac
162,162,13663,FE-128,13438,16045,how are my stocks doing today,qa_stock,audio-1488993969.flac
163,163,76,FE-128,1000,1053,turn off my smart plug socket,iot_wemo_off,audio-1488992897.flac
164,164,3273,FE-128,10757,12801,what items are on my shopping list,lists_query,audio-1488991167.flac
165,165,1815,FE-128,10440,12419,any special events on my list,lists_query,audio-1488991300.flac
166,166,2834,FE-128,10656,12676,delete my christmas holiday list,lists_remove,audio-1488993362.flac
167,167,7814,FE-141,11907,14174,what fun stuff can i do around here,recommendation_events,audio-1490019625-headset.flac
168,168,34321,FE-141,300,274,what is the forecast for today,weather_query,audio-1490021986-headset.flac
169,169,34322,FE-141,300,274,what is the forecast for today,weather_query,audio-1490021986.flac
170,170,34320,FE-141,300,274,what is the forecast for today,weather_query,audio-1490020774.flac
171,171,27850,FE-141,1713,1858,download and save song of dangal movie,music_likeness,audio-1490021457-headset.flac
172,172,15775,FE-141,14016,16818,where is the south pole,qa_factoid,audio-1490019227-headset.flac
173,173,34319,FE-141,300,274,what is the forecast for today,weather_query,audio-1490020774-headset.flac
174,174,7738,FE-141,11897,14162,is there anything happening in town this weekend,recommendation_events,audio-1490020926.flac
175,175,7737,FE-141,11897,14162,is there anything happening in town this weekend,recommendation_events,audio-1490020926-headset.flac
176,176,7699,FE-141,11881,14145,what is open late in l. a.,recommendation_events,audio-1490022104.flac
177,177,1894,FE-141,10444,12422,delete item,lists_remove,audio-1490021471.flac
178,178,27672,FE-141,17068,20693,reply to the email received from jennifer,email_sendemail,audio-1490020889.flac
179,179,7698,FE-141,11881,14145,what is open late in l. a.,recommendation_events,audio-1490022104-headset.flac
180,180,20836,FE-141,154,136,save settings,music_settings,audio-1490022112-headset.flac
181,181,15776,FE-141,14016,16818,where is the south pole,qa_factoid,audio-1490019227.flac
182,182,27817,FE-141,17118,20763,check for new mail,email_query,audio-1490019236-headset.flac
183,183,7815,FE-141,11907,14174,what fun stuff can i do around here,recommendation_events,audio-1490019625.flac
184,184,27851,FE-141,1713,1858,download and save song of dangal movie,music_likeness,audio-1490021457.flac
185,185,19197,FE-141,1498,1614,play some tracks by michael jackson,play_music,audio-1490022163.flac
186,186,27832,FE-141,17125,20772,start a reply to marleen's most recent email,email_sendemail,audio-1490019071-headset.flac
187,187,51334,FE-141,7048,8252,bring up google calendar please add event for may fifth,calendar_set,audio-1490020869.flac
188,188,7849,FE-141,11919,14187,can you tell me what movie has the best reviews,recommendation_movies,audio-1490019277.flac
189,189,7848,FE-141,11919,14187,can you tell me what movie has the best reviews,recommendation_movies,audio-1490019277-headset.flac
190,190,51333,FE-141,7048,8252,bring up google calendar please add event for may fifth,calendar_set,audio-1490020869-headset.flac
191,191,57487,FE-141,8567,10041,schedule brunch at ten am today and invite tiffany and jessica please,calendar_set,audio-1490020877.flac
192,192,27815,FE-141,17117,20762,are there any recent emails,email_query,audio-1490020670-headset.flac
193,193,27818,FE-141,17118,20763,check for new mail,email_query,audio-1490019236.flac
194,194,41462,FE-141,4612,5172,play a selection of classical music,play_music,audio-1490020089.flac
195,195,36814,FE-141,3543,3900,i want the light to be a little more red ish,iot_hue_lightchange,audio-1490019590.flac
196,196,36813,FE-141,3543,3900,i want the light to be a little more red ish,iot_hue_lightchange,audio-1490019590-headset.flac
197,197,41461,FE-141,4612,5172,play a selection of classical music,play_music,audio-1490020089-headset.flac
198,198,57502,FE-141,857,897,dim lights,iot_hue_lightdim,audio-1490019142-headset.flac
199,199,57503,FE-141,857,897,dim lights,iot_hue_lightdim,audio-1490019142.flac
200,200,27833,FE-141,17125,20772,start a reply to marleen's most recent email,email_sendemail,audio-1490019071.flac
201,201,27816,FE-141,17117,20762,are there any recent emails,email_query,audio-1490020670.flac
202,202,20837,FE-141,154,136,save settings,music_settings,audio-1490022112.flac
203,203,57486,FE-141,8567,10041,schedule brunch at ten am today and invite tiffany and jessica please,calendar_set,audio-1490020877-headset.flac
