,Unnamed: 0,user_id,slurp_id,nlub_id,sentence,intent,recording_path
37131,49542,ME-028,6720,7880,what do you know about fringe in edinburgh next year,general_quirky,audio-1488530906.flac
37132,13220,ME-132,13303,15876,can you make dinner for me,general_quirky,audio-1489152535.flac
37133,24991,ME-132,16368,19828,what did i get emailed about this week,email_query,audio-1489152912.flac
37134,33845,ME-132,2911,3221,play cd led zeppelin houses of the holy,play_music,audio-1489152577.flac
37135,55348,ME-132,8003,9357,cancel my meeting for friday,calendar_remove,audio-1489151198.flac
37136,45754,ME-132,569,577,how many birthday's are on twenty third,datetime_query,audio-1489152229.flac
37137,13198,ME-132,13298,15870,what does celebrity do,qa_factoid,audio-1489152549.flac
37138,47998,ME-132,6286,7317,can you tell me about today,calendar_query,audio-1489151625.flac
37139,53273,ME-132,7498,8768,is the on the calendar for july two,calendar_query,audio-1489154049.flac
37140,36456,ME-132,3460,3803,quiet time,audio_volume_mute,audio-1489152815.flac
37141,5039,ME-132,11257,13425,play next recording,play_podcasts,audio-1489152266.flac
37142,51858,ME-132,7176,8398,please mark the date one divided by and set the reminder at five pm to make an appointment with mr richard,calendar_set,audio-1489153284.flac
37143,15730,ME-132,1400,1509,i mostly pay attention,weather_query,audio-1489154065.flac
37144,6949,ME-132,11661,13925,can you find a nice restaurant downtown,recommendation_locations,audio-1489152927.flac
37145,55289,ME-132,7996,9350,delete my upcoming calendar event,calendar_remove,audio-1489152149.flac
37146,13087,ME-132,13265,15826,i hope we could eat biscuits,general_quirky,audio-1489152473.flac
37147,34246,ME-132,299,273,what is the weather,weather_query,audio-1489153814.flac
37148,50115,ME-132,6784,7943,do i have any reminders,calendar_query,audio-1489154085.flac
37149,28671,ME-132,1822,1993,start cleaning robot cleaner,iot_cleaning,audio-1489151481.flac
37150,13070,ME-132,13260,15820,list the celebrities who have been in my country in the last five years,qa_factoid,audio-1489152205.flac
37151,31729,ME-132,2433,2687,what is happening to my order,takeaway_query,audio-1489152873.flac
37152,24076,ME-132,16133,19546,send email to mommy that i'll be going the party,email_sendemail,audio-1489153551.flac
37153,30906,ME-132,225,201,lights off,iot_hue_lightoff,audio-1489153440.flac
37154,24111,ME-132,16143,19560,create an email to,email_sendemail,audio-1489151554.flac
37155,30580,ME-132,2183,2413,what's the date today,datetime_query,audio-1489151878.flac
37156,35482,ME-132,3237,3556,dim the lights at the living room,iot_hue_lightdim,audio-1489153958.flac
37157,25006,ME-132,16374,19834,are there any emails from the school about my conference,email_query,audio-1489154265.flac
37158,55229,ME-132,798,838,which restaurants offer take out food,takeaway_query,audio-1489153627.flac
37159,36405,ME-132,3449,3791,change lights from red to blue,iot_hue_lightchange,audio-1489153032.flac
37160,4908,ME-132,1123,1186,next play justin bieber's sorry,play_music,audio-1489154192.flac
37161,12542,ME-132,13122,15650,what is the factorial of,qa_maths,audio-1489153382.flac
37162,58299,ME-132,880,924,what time is it in cleveland ohio,datetime_query,audio-1489151765.flac
37163,41256,ME-132,456,452,change the bedroom lights to green,iot_hue_lightchange,audio-1489152759.flac
37164,50963,ME-132,6967,8151,can you check the facts on this issue,calendar_query,audio-1489153790.flac
37165,33969,ME-132,292,266,turn on the vacuum cleaner,iot_cleaning,audio-1489152700.flac
37166,13403,ME-132,13365,15952,define the word absolute,qa_definition,audio-1489152666.flac
37167,35614,ME-132,327,302,sunday,weather_query,audio-1489152845.flac
37168,37854,ME-132,379,358,i want the music to be saved can you do it for me,music_likeness,audio-1489151210.flac
37169,25088,ME-132,16398,19864,please send the email to jeff,email_sendemail,audio-1489152284.flac
37170,25084,ME-132,16397,19863,will you send the email to greg,email_sendemail,audio-1489152483.flac
37171,10515,ME-132,12566,14936,can i purchase a train ticket today,transport_query,audio-1489152808.flac
37172,53141,ME-132,7465,8729,attend party with love this friday,calendar_set,audio-1489151873.flac
37173,53142,ME-132,7465,8729,attend party with love this friday,calendar_set,audio-1489152639.flac
37174,51815,ME-132,7167,8390,i want to know more about the upcoming commonwealth games,general_quirky,audio-1489154317.flac
37175,36638,ME-132,3501,3850,turn house lights off,iot_hue_lightoff,audio-1489152262.flac
37176,36751,ME-132,3533,3888,please change timezone to india,datetime_convert,audio-1489153984.flac
37177,32494,ME-132,2604,2887,set an alarm for one hour from now,alarm_set,audio-1489152525.flac
37178,58158,ME-132,876,919,play kari jobe for me,play_music,audio-1489153557.flac
37179,42645,ME-132,49,38,tell me the time in g. m. t. plus five,datetime_convert,audio-1489153301.flac
37180,60211,ME-132,9292,11037,time for my drive home station please,play_radio,audio-1489151570.flac
37181,31343,ME-132,2343,2589,set track twenty eight in music player on repeat,music_settings,audio-1489151856.flac
37182,17619,ME-132,1451,1563,adjust the light,iot_hue_lightchange,audio-1489153875.flac
37183,25020,ME-132,16378,19839,send mom an email now,email_sendemail,audio-1489152804.flac
37184,55383,ME-132,8011,9368,show me my events for the month,calendar_query,audio-1489151889.flac
37185,18101,ME-132,1463,1577,notify me with news updates on nigeria,news_query,audio-1489152492.flac
37186,28982,ME-132,1887,2061,play that last song,play_music,audio-1489154077.flac
37187,36404,ME-132,3449,3791,change lights from red to blue,iot_hue_lightchange,audio-1489152412.flac
37188,33146,ME-132,2752,3049,make me a cup of coffee please,iot_coffee,audio-1489154212.flac
37189,34935,ME-132,3119,3426,what is the time in the midwest right now,datetime_query,audio-1489153994.flac
37190,20228,ME-132,15238,18468,hi there tell me latest updates of times of india page in facebook,social_query,audio-1489152456.flac
37191,60414,ME-132,934,983,change the volume of the speakers,audio_volume_other,audio-1489154326.flac
37192,3372,ME-132,10787,12832,whats the schedule for today,lists_query,audio-1489153040.flac
37193,6646,ME-132,11578,13828,find events near by,recommendation_events,audio-1489151025.flac
37194,12524,ME-132,13116,15643,the capital of nigeria is what,qa_factoid,audio-1489154080.flac
37195,9273,ME-132,12264,14585,new york,transport_query,audio-1489151744.flac
37196,36423,ME-132,3455,3797,mute for,audio_volume_mute,audio-1489151372.flac
37197,43804,ME-132,518,521,play my most played songs,play_music,audio-1489152165.flac
37198,6789,ME-132,11613,13870,what baseball games are scheduled for this week in tulsa,recommendation_events,audio-1489152348.flac
37199,44163,ME-132,527,532,do you know any jokes,general_joke,audio-1489153316.flac
37200,19268,ME-132,150,132,i like this song,music_likeness,audio-1489153485.flac
37201,32451,ME-132,2594,2875,tell me about the latest environmental news,news_query,audio-1489151799.flac
37202,19267,ME-132,150,132,i like this song,music_likeness,audio-1489153218.flac
37203,12358,ME-132,13067,15587,can you create a sugar free diet for me and create a shopping list for the ingredients,general_quirky,audio-1489151693.flac
37204,59702,ME-132,9202,10932,play my radio station,play_radio,audio-1489152380.flac
37205,39240,ME-132,411,400,can you tell me a joke,joke,audio-1489152422.flac
37206,19898,ME-132,15160,18375,may i know what is trending in twitter,query,audio-1489153980.flac
37207,7350,ME-132,1178,1248,who wrote the song i just wanna dance with you,music_query,audio-1489152418.flac
37208,12716,ME-132,13169,15702,which store's got the cheapest three pound beef rump,recommendation_locations,audio-1489154004.flac
37209,36401,ME-132,3448,3790,change the color of the lights to blue,iot_hue_lightchange,audio-1489153806.flac
37210,49906,ME-132,6756,7913,remind me to read book next week,calendar_set,audio-1489152787.flac
37211,20260,ME-132,15248,18479,i am bored,general_quirky,audio-1489152248.flac
37212,20299,ME-132,15257,18489,latest tweets,social_query,audio-1489153924.flac
37213,33382,ME-132,2807,3108,can you get me a cup of coffee,iot_coffee,audio-1489151130.flac
37214,32812,ME-132,2682,2974,play some lady gaga,play_music,audio-1489154054.flac
37215,28349,ME-132,1778,1933,please dim the lights,iot_hue_lightdim,audio-1489152234.flac
37216,53595,ME-132,7569,8854,plan for tomorrow,calendar_query,audio-1489152408.flac
37217,33492,ME-132,2831,3131,please make coffee,iot_coffee,audio-1489152963.flac
37218,31678,ME-132,2414,2665,i want to order a pizza from michael's pizza,takeaway_order,audio-1489153942.flac
37219,9325,ME-132,12280,14603,i'd like a train ticket to this location,transport_query,audio-1489151080.flac
37220,55176,ME-132,7963,9316,do i have any upcoming reminders,calendar_query,audio-1489151337.flac
37221,35608,ME-132,3266,3588,please rate this song insert rating here,music_likeness,audio-1489151683.flac
37222,2782,ME-132,10647,12666,put clean dog at the top of the cleaning list,lists_createoradd,audio-1489152119.flac
37223,28695,ME-132,1829,2000,hello what are you up to,general_greet,audio-1489154235.flac
37224,1235,ME-132,1031,1088,dim the living room lights,iot_hue_lightdim,audio-1489151147.flac
37225,32799,ME-132,268,239,make the lights brighter,iot_hue_lightup,audio-1489152405.flac
37226,52246,ME-132,7266,8503,what are my pending tasks,calendar_query,audio-1489153603.flac
37227,55109,ME-132,795,835,what time is the alarm set for tomorrow,alarm_query,audio-1489152905.flac
37228,24247,ME-132,16177,19601,answer the email,email_sendemail,audio-1489154088.flac
37229,32354,ME-132,2578,2856,turn off the porch light,iot_hue_lightoff,audio-1489154322.flac
37230,12880,ME-132,13210,15754,what is your country,general_quirky,audio-1489151358.flac
37231,28630,ME-132,1813,1983,i need coffee please preferably hot,iot_coffee,audio-1489151913.flac
37232,1969,ME-132,1045,1102,can you play the instrumentals of,play_music,audio-1489151607.flac
37233,57701,ME-132,863,904,my alarms,alarm_query,audio-1489151365.flac
37234,12864,ME-132,13208,15752,what does the word labyrinth mean,qa_definition,audio-1489153798.flac
37235,6635,ME-132,11577,13827,is there any event close by,recommendation_events,audio-1489151581.flac
37236,62885,ME-132,985,1038,today's news cnn,news_query,audio-1489153225.flac
37237,24921,ME-132,16355,19811,what was the subject of my last email to tom,email_query,audio-1489151739.flac
37238,23322,ME-132,1597,1732,start roomba,iot_cleaning,audio-1489153706.flac
37239,24738,ME-132,16297,19741,send an email to jake to tell him thank you,email_sendemail,audio-1489152090.flac
37240,36718,ME-132,3521,3874,please turn off all the lights outdoor,iot_hue_lightoff,audio-1489153178.flac
37241,53594,ME-132,7568,8853,date of joining,calendar_set,audio-1489154172.flac
