,Unnamed: 0,user_id,slurp_id,nlub_id,sentence,intent,recording_path
168,34321,FE-141,300,274,what is the forecast for today,weather_query,audio-1490021986-headset.flac
173,34319,FE-141,300,274,what is the forecast for today,weather_query,audio-1490020774-headset.flac
420,17267,FE-141,14422,17372,what is the dollar against the pound,qa_currency,audio-1490020770-headset.flac
427,17265,FE-141,14422,17372,what is the dollar against the pound,qa_currency,audio-1490020405-headset.flac
538,32324,FE-141,257,230,play music from my favourite pianist,play_music,audio-1490020145-headset.flac
540,32322,FE-141,257,230,play music from my favourite pianist,play_music,audio-1490019090-headset.flac
585,24335,FE-141,162,143,make me a coffee,iot_coffee,audio-1490019163-headset.flac
591,24337,FE-141,162,143,make me a coffee,iot_coffee,audio-1490022325-headset.flac
620,11001,FE-141,1270,1360,what's the news,news_query,audio-1490019547-headset.flac
629,11003,FE-141,1270,1360,what's the news,news_query,audio-1490021052-headset.flac
687,53111,FE-141,746,781,get me top headlines,news_query,audio-1490021107-headset.flac
689,53113,FE-141,746,781,get me top headlines,news_query,audio-1490021575-headset.flac
935,22559,FE-145,15788,19139,do i have any new emails,email_query,audio-1490184375-headset.flac
959,22557,FE-145,15788,19139,do i have any new emails,email_query,audio-1490183784-headset.flac
978,30699,FE-145,2202,2433,usa today headlines,news_query,audio-1490182900-headset.flac
980,30701,FE-145,2202,2433,usa today headlines,news_query,audio-1490184129-headset.flac
1106,42742,FE-145,4921,5568,turn off my first alarm,alarm_remove,audio-1490182383-headset.flac
1111,15723,FE-145,140,123,start my jazz playlist,play_music,audio-1490184321-headset.flac
1129,15721,FE-145,140,123,start my jazz playlist,play_music,audio-1490181262-headset.flac
1136,42740,FE-145,4921,5568,turn off my first alarm,alarm_remove,audio-1490181306-headset.flac
1180,10788,FE-145,12640,15028,is there a five pm train on wednesday to rockville,transport_query,audio-1490182597-headset.flac
1183,10786,FE-145,12640,15028,is there a five pm train on wednesday to rockville,transport_query,audio-1490182191-headset.flac
