,Unnamed: 0,user_id,slurp_id,nlub_id,sentence,intent,recording_path
169,34322,FE-141,300,274,what is the forecast for today,weather_query,audio-1490021986.flac
170,34320,FE-141,300,274,what is the forecast for today,weather_query,audio-1490020774.flac
421,17266,FE-141,14422,17372,what is the dollar against the pound,qa_currency,audio-1490020405.flac
466,17268,FE-141,14422,17372,what is the dollar against the pound,qa_currency,audio-1490020770.flac
537,32325,FE-141,257,230,play music from my favourite pianist,play_music,audio-1490020145.flac
539,32323,FE-141,257,230,play music from my favourite pianist,play_music,audio-1490019090.flac
584,24336,FE-141,162,143,make me a coffee,iot_coffee,audio-1490019163.flac
605,24338,FE-141,162,143,make me a coffee,iot_coffee,audio-1490022325.flac
618,11004,FE-141,1270,1360,what's the news,news_query,audio-1490021052.flac
619,11002,FE-141,1270,1360,what's the news,news_query,audio-1490019547.flac
688,53112,FE-141,746,781,get me top headlines,news_query,audio-1490021107.flac
690,53114,FE-141,746,781,get me top headlines,news_query,audio-1490021575.flac
926,22560,FE-145,15788,19139,do i have any new emails,email_query,audio-1490184375.flac
948,22558,FE-145,15788,19139,do i have any new emails,email_query,audio-1490183784.flac
979,30700,FE-145,2202,2433,usa today headlines,news_query,audio-1490182900.flac
981,30702,FE-145,2202,2433,usa today headlines,news_query,audio-1490184129.flac
1105,15724,FE-145,140,123,start my jazz playlist,play_music,audio-1490184321.flac
1109,42743,FE-145,4921,5568,turn off my first alarm,alarm_remove,audio-1490182383.flac
1121,15722,FE-145,140,123,start my jazz playlist,play_music,audio-1490181262.flac
1122,42741,FE-145,4921,5568,turn off my first alarm,alarm_remove,audio-1490181306.flac
1177,10787,FE-145,12640,15028,is there a five pm train on wednesday to rockville,transport_query,audio-1490182191.flac
1184,10789,FE-145,12640,15028,is there a five pm train on wednesday to rockville,transport_query,audio-1490182597.flac
1217,10061,FE-145,12453,14814,book train best deal,transport_ticket,audio-1490182663.flac
1243,10063,FE-145,12453,14814,book train best deal,transport_ticket,audio-1490183416.flac
1265,48372,FE-146,6408,7451,politics,general_quirky,audio-1490193792.flac
1267,3503,FE-146,10822,12870,name all lists,lists_query,audio-1490193356.flac
1278,38439,FE-146,3952,4400,where is an olive garden that does takeaway,takeaway_query,audio-1490195341.flac
1280,38441,FE-146,3952,4400,where is an olive garden that does takeaway,takeaway_query,audio-1490196040.flac
1286,3505,FE-146,10822,12870,name all lists,lists_query,audio-1490194686.flac
1308,48370,FE-146,6408,7451,politics,general_quirky,audio-1490193614.flac
1466,10455,FE-146,12555,14925,how is the traffic,transport_traffic,audio-1490193869.flac
1469,10453,FE-146,12555,14925,how is the traffic,transport_traffic,audio-1490193414.flac
1611,10936,FE-146,12678,15079,are there any trips to location a provided by the train,transport_query,audio-1490193282.flac
1614,10934,FE-146,12678,15079,are there any trips to location a provided by the train,transport_query,audio-1490192586.flac
1624,41107,FE-146,453,448,what is today's date,datetime_query,audio-1490193147.flac
1636,41109,FE-146,453,448,what is today's date,datetime_query,audio-1490193742.flac
1715,30520,FE-146,2168,2395,turn off my alarm,alarm_remove,audio-1490195576.flac
1731,53929,FE-146,7656,8954,give me my to do list for today,calendar_set,audio-1490195098.flac
1733,53927,FE-146,7656,8954,give me my to do list for today,calendar_set,audio-1490194256.flac
1746,30518,FE-146,2168,2395,turn off my alarm,alarm_remove,audio-1490194380.flac
1754,30913,FE-146,225,201,lights off,iot_hue_lightoff,audio-1490195572.flac
