,Unnamed: 0,user_id,slurp_id,nlub_id,sentence,intent,recording_path
57380,4544,UNK-159,11126,13243,i want to know the particulars in shopping list,lists_query,audio-1491103151.flac
57381,35416,UNK-160,3217,3535,how is the news media reacting to trump's potential ties with russia,news_query,audio-1491103230.flac
57382,49431,UNK-160,6711,7841,robotics,general_quirky,audio-1491103219.flac
57383,40399,UNK-162,438,431,is it going to rain today,weather_query,audio-1491104197.flac
57384,33924,UNK-163,2916,3226,how is weather on such and such day,weather_query,audio-1491104756.flac
57385,57455,UNK-165,8559,10030,do i have anything scheduled for today,calendar_query,audio-1496937888-headset.flac
57386,57456,UNK-165,8559,10030,do i have anything scheduled for today,calendar_query,audio-1496937888.flac
57387,43523,UNK-166,5096,5792,turn all lights on,iot_hue_lighton,audio-1496938385.flac
57388,42750,UNK-166,4922,5570,turn off all alarms,alarm_remove,audio-1496938362-headset.flac
57389,42751,UNK-166,4922,5570,turn off all alarms,alarm_remove,audio-1496938362.flac
57390,43522,UNK-166,5096,5792,turn all lights on,iot_hue_lighton,audio-1496938385-headset.flac
57391,33135,UNK-167,2748,3045,can i change this light to orange,iot_hue_lightchange,audio-1496962154.flac
57392,33134,UNK-167,2748,3045,can i change this light to orange,iot_hue_lightchange,audio-1496962154-headset.flac
57393,49907,UNK-168,6756,7913,remind me to read book next week,calendar_set,audio-1497017256-headset.flac
57394,29048,UNK-168,1891,2065,how the weather today,weather_query,audio-1497017184.flac
57395,62137,UNK-168,9747,11587,resume pride and prejudice,play_audiobook,audio-1497017241-headset.flac
57396,29047,UNK-168,1891,2065,how the weather today,weather_query,audio-1497017184-headset.flac
57397,26972,UNK-168,16866,20437,please add an email to my contacts,email_addcontact,audio-1497017141.flac
57398,38649,UNK-168,4,3,quiet,audio_volume_mute,audio-1497017213.flac
57399,38648,UNK-168,4,3,quiet,audio_volume_mute,audio-1497017213-headset.flac
57400,56970,UNK-168,8441,9886,erase my whole calendar,calendar_remove,audio-1497017221-headset.flac
57401,56971,UNK-168,8441,9886,erase my whole calendar,calendar_remove,audio-1497017221.flac
57402,33094,UNK-168,2736,3033,is it currently raining,weather_query,audio-1497017246-headset.flac
57403,54927,UNK-168,7901,9247,what have i got going on between three and four pm today,calendar_query,audio-1497017280-headset.flac
57404,49908,UNK-168,6756,7913,remind me to read book next week,calendar_set,audio-1497017256.flac
57405,4418,UNK-168,11087,13192,we need milk,lists_createoradd,audio-1497017251-headset.flac
57406,33095,UNK-168,2736,3033,is it currently raining,weather_query,audio-1497017246.flac
57407,26971,UNK-168,16866,20437,please add an email to my contacts,email_addcontact,audio-1497017141-headset.flac
57408,62138,UNK-168,9747,11587,resume pride and prejudice,play_audiobook,audio-1497017241.flac
57409,6180,UNK-177,11471,13682,start this week for dinner podcast,play_podcasts,audio-1497261801-headset.flac
57410,35671,UNK-177,3288,3609,what is the time difference between here and insert city,datetime_query,audio-1497261807-headset.flac
57411,37691,UNK-177,3753,4145,power up the vacuum,iot_cleaning,audio-1497261715.flac
57412,37690,UNK-177,3753,4145,power up the vacuum,iot_cleaning,audio-1497261715-headset.flac
57413,991,UNK-177,10253,12179,play subway surfers with me,play_game,audio-1497261793.flac
57414,7240,UNK-177,11748,14012,whats going on in cincinnati,recommendation_events,audio-1497261785-headset.flac
57415,6181,UNK-177,11471,13682,start this week for dinner podcast,play_podcasts,audio-1497261801.flac
57416,35672,UNK-177,3288,3609,what is the time difference between here and insert city,datetime_query,audio-1497261807.flac
57417,38547,UNK-177,3980,4432,please play shape of you by ed sheeran,play_music,audio-1497261777.flac
57418,38546,UNK-177,3980,4432,please play shape of you by ed sheeran,play_music,audio-1497261777-headset.flac
57419,990,UNK-177,10253,12179,play subway surfers with me,play_game,audio-1497261793-headset.flac
57420,7241,UNK-177,11748,14012,whats going on in cincinnati,recommendation_events,audio-1497261785.flac
57421,32704,UNK-177,2655,2945,will the highest temperature be more than seventy degrees tomorrow,weather_query,audio-1497261762.flac
57422,22112,UNK-177,15745,19097,add new email to anna,email_addcontact,audio-1497261797.flac
57423,22111,UNK-177,15745,19097,add new email to anna,email_addcontact,audio-1497261797-headset.flac
57424,32703,UNK-177,2655,2945,will the highest temperature be more than seventy degrees tomorrow,weather_query,audio-1497261762-headset.flac
57425,23782,UNK-177,16058,19456,reply to john stating that i will attend the party,email_sendemail,audio-1497261757.flac
57426,23781,UNK-177,16058,19456,reply to john stating that i will attend the party,email_sendemail,audio-1497261757-headset.flac
57427,62096,UNK-182,974,1025,what time is it in new york now,datetime_query,audio-1497274696.flac
57428,62095,UNK-182,974,1025,what time is it in new york now,datetime_query,audio-1497274696-headset.flac
