,Unnamed: 0,user_id,slurp_id,nlub_id,sentence,intent,recording_path
47496,52410,MO-019,73,58,please play my best music,play_music,audio-1488515989.flac
47497,19245,MO-026,15,12,turn off the light in the bathroom,iot_hue_lightoff,audio-1488524781.flac
47498,50059,MO-029,6781,7940,what time is my doctor appointment this week,calendar_query,audio-1488535256.flac
47499,15277,MO-030,139,122,play my jazz playlist,play_music,audio-1488539910.flac
47500,15276,MO-030,139,122,play my jazz playlist,play_music,audio-1488538721.flac
47501,6579,MO-030,11575,13825,tell me interesting events around,recommendation_events,audio-1488536920.flac
47502,38,MO-030,1,1,wake me up at nine am on friday,alarm_set,audio-1488537291.flac
47503,39,MO-030,1,1,wake me up at nine am on friday,alarm_set,audio-1488537370.flac
47504,49674,MO-030,6730,7887,schedule a chat with adam on thursday afternoon,calendar_set,audio-1488542351.flac
47505,5032,MO-030,11257,13425,play next recording,play_podcasts,audio-1488539298.flac
47506,22461,MO-030,15779,19132,email to matthew with content project finished send me invoice please,email_sendemail,audio-1488540161.flac
47507,28648,MO-030,182,160,play my rock playlist,play_music,audio-1488538996.flac
47508,50179,MO-030,6788,7947,add event for this evening meeting with jake,calendar_set,audio-1488537575.flac
47509,6629,MO-030,11577,13827,is there any event close by,recommendation_events,audio-1488538018.flac
47510,50180,MO-030,6788,7947,add event for this evening meeting with jake,calendar_set,audio-1488542009.flac
47511,47667,MO-030,6186,7215,whats going on today,general_quirky,audio-1488537828.flac
47512,9035,MO-030,122,107,send a giggle my way,general_joke,audio-1488541099.flac
47513,63331,MO-030,9912,11761,how long should i boil the eggs,cooking_recipe,audio-1488538008.flac
47514,47657,MO-030,6184,7213,we had great dinner today,general_quirky,audio-1488537600.flac
47515,6583,MO-030,11575,13825,tell me interesting events around,recommendation_events,audio-1488540680.flac
47516,6582,MO-030,11575,13825,tell me interesting events around,recommendation_events,audio-1488540133.flac
47517,13518,MO-030,134,117,how long until my takeaway,takeaway_query,audio-1488537981.flac
47518,11766,MO-030,12936,15423,ten percentages of hundred,qa_maths,audio-1488538321.flac
47519,22491,MO-030,15783,19135,any new emails,email_query,audio-1488538243.flac
